condition,train_ratio,eval_ratio,seed,delta_mcc,delta_f1,delta_precision,delta_recall,delta_pr_auc
random_flip_10,60/40,80/20,2,-0.041324590910251736,-0.03610582219286447,-0.019068124857598512,-0.057142857142857072,-0.040772951974932622
random_flip_10,60/40,80/20,3,-0.059162311302043247,-0.041459684030106581,-0.051006763262577262,-2.2204460492503132e-17,-0.023608288937880483
random_flip_10,60/40,80/20,4,-0.028105352911048133,-0.024247831614149441,-0.018072253183691454,-0.0095238095238094674,-0.07994399653580464
random_flip_10,60/40,80/20,5,0.0085929921183963368,0.0050690101532723242,0.004878235200815784,0.00952380952380949,0.01005090548300629
random_flip_10,60/40,90/10,1,-0.010236852256672225,-0.019379666483459901,-0.025511831592427196,0.05714285714285712,-0.085475609153551624
random_flip_10,60/40,90/10,2,-0.027597220716338577,-0.020381669533687675,-0.0091289231573735141,-0.057142857142857072,-0.065710565560573114
random_flip_10,60/40,90/10,3,-0.060748039353308844,-0.05775941348860756,-0.058986566569593023,-2.2204460492503132e-17,0.010681511006843702
random_flip_10,60/40,90/10,4,-0.013882050433938725,-0.01307562734831913,-0.0095862781765997662,-0.0095238095238094674,-0.014759862876784425
random_flip_10,60/40,90/10,5,0.0097018763276985661,0.0068075480011452029,0.0052652237882416745,0.00952380952380949,-0.048011323158487995
random_flip_10,70/30,50/50,1,-0.026876349528577415,-0.015973787648406467,-0.008147641831852348,-0.019047619047619025,0.0076671748777580092
random_flip_10,70/30,50/50,2,-0.032812194235494516,-0.053740248379171331,0.02519849087960533,-0.095238095238095344,0.021300387725383785
random_flip_10,70/30,50/50,3,-0.1417356385457163,-0.1179345936556175,-0.051265793030498941,-0.1333333333333333,-0.0038543332661707284
random_flip_10,70/30,50/50,4,-0.068684163402743192,-0.072396879610501966,-0.0010258489360655877,-0.095238095238095191,-0.049779958769918323
random_flip_10,70/30,50/50,5,0.00055725229865171149,-0.0016976758837223827,-0.0022071400503893557,2.2204460492503132e-17,-0.0046694043046105142
random_flip_10,70/30,60/40,1,-0.035566039161211913,-0.023233140300885656,-0.0092635046113306967,-0.019047619047619025,-0.0089941939327045084
random_flip_10,70/30,60/40,2,-0.11395761261594259,-0.087935082108888701,-0.058891658736859996,-0.095238095238095344,-0.03373800095978903
random_flip_10,70/30,60/40,3,-0.14133607864143985,-0.11878045490948722,-0.060779848171152583,-0.1333333333333333,-0.039457737219477498
random_flip_10,70/30,60/40,4,-0.11440892199572406,-0.090526048708423318,-0.052946124870677361,-0.095238095238095191,-0.036938578768480924
random_flip_10,70/30,60/40,5,-0.0074170093733862737,-0.0048570306443496362,-0.0090941583207027939,2.2204460492503132e-17,-0.010844922989621341
random_flip_10,70/30,70/30,1,-0.034056182621436039,-0.025452548114200703,-0.022053864264390554,-0.019047619047619025,-0.012496547255850476
random_flip_10,70/30,70/30,2,-0.060837773390581232,-0.057503025075935132,-0.011075161837310166,-0.095238095238095344,0.07738270137025291
random_flip_10,70/30,70/30,3,-0.15254522328703582,-0.12351316326087211,-0.095354181991098907,-0.1333333333333333,-0.10045553378207277
random_flip_10,70/30,70/30,4,-0.038181821735854493,-0.048785860832362492,0.019757622811970688,-0.095238095238095191,-0.048339605061067867
random_flip_10,70/30,70/30,5,-0.024496351188503684,-0.015261094508178164,-0.025627002288329436,2.2204460492503132e-17,-0.0040077764166605908
random_flip_10,70/30,75/25,1,0.011472724618982499,0.0021642002705124287,0.038548790179225037,-0.019047619047619025,-0.0073164371715521478
random_flip_10,70/30,75/25,2,0.005288273455196996,-0.0061031219833977525,0.053360867892726836,-0.095238095238095344,-0.015759121713214176
random_flip_10,70/30,75/25,3,-0.11362126433033,-0.10251166337065039,-0.048107840699346781,-0.1333333333333333,-0.050866097015639586
random_flip_10,70/30,75/25,4,-0.051764586457092331,-0.054455714474465199,0.0082620216389502014,-0.095238095238095191,-0.061704518101854934
random_flip_10,70/30,75/25,5,-0.021784064107326407,-0.016267147931346603,-0.025759953412127157,2.2204460492503132e-17,0.044063442236263309
random_flip_10,70/30,80/20,1,-0.011569953784023711,-0.0091234551611910405,-0.0055791549268778828,-0.019047619047619025,-0.00064212819766576998
random_flip_10,70/30,80/20,2,-0.06513655818144759,-0.061781480694850621,-0.011724169002314266,-0.095238095238095344,-0.0011937541641976689
random_flip_10,70/30,80/20,3,-0.099480283655777005,-0.087595394594730563,-0.042789822924332158,-0.1333333333333333,-0.075754092957258809
random_flip_10,70/30,80/20,4,-0.10771118957091064,-0.099858514450587355,-0.05368596411216555,-0.095238095238095191,-0.083752145193049049
random_flip_10,70/30,80/20,5,0.0087718168503144074,0.0051598744105731727,0.011322433013609311,2.2204460492503132e-17,0.06324907794554209
random_flip_10,70/30,90/10,1,-0.0058702910473038879,-0.0037636843842993374,0.0041395484271119611,-0.019047619047619025,-0.019913939920746325
random_flip_10,70/30,90/10,2,-0.064697590576895253,-0.05228624379750739,-0.029882490786859971,-0.095238095238095344,0.035100774581074121
random_flip_10,70/30,90/10,3,-0.096813577089693029,-0.086989730713939645,-0.043643469541596334,-0.1333333333333333,-0.14182241919194188
random_flip_10,70/30,90/10,4,-0.023680721267719484,-0.017061094653433851,0.02301857254678712,-0.095238095238095191,-0.064027362176069635
random_flip_10,70/30,90/10,5,0.0048109074461827996,0.0037139549570657238,0.0057313494407700283,2.2204460492503132e-17,-0.0017606338720975723
random_flip_10,75/25,50/50,1,0.034018019326913708,-0.0017150549813697014,0.042538699690402491,-0.0095238095238096565,-0.0087699686246656364
random_flip_10,75/25,50/50,2,-0.030975206239367392,-0.021147720143416128,-0.036548427417992711,0,-0.041582888364507631
random_flip_10,75/25,50/50,3,-0.10344893919389624,-0.041060615129934773,-0.085940095336380112,-0.0095238095238095351,-0.045646335955803585
random_flip_10,75/25,50/50,4,-0.020024967758986257,-0.019703637381905635,-0.0081024438761011057,-0.009523809523809568,0.017693403718485535
random_flip_10,75/25,50/50,5,-0.016924148689351094,-0.0086636109651345491,-0.032797986402105336,0.0095238095238095351,-0.035725168571032584
random_flip_10,75/25,60/40,1,-0.031532889948358102,-0.026280503334568727,-0.023705148652516959,-0.0095238095238096565,-0.083362923678089881
random_flip_10,75/25,60/40,2,-0.0004085968193530354,-0.014564715861969812,0.0052719502719503321,0,-0.016655907388639514
random_flip_10,75/25,60/40,3,0.0088996515261815963,0.0012244863464375699,0.017673350041770997,-0.0095238095238095351,-0.0043496921581113179
random_flip_10,75/25,60/40,4,-0.053170175653072041,-0.032804337045823154,-0.052560897620797985,-0.009523809523809568,-0.05254011951332347
random_flip_10,75/25,60/40,5,-0.0079526346610460878,-0.009142407134765284,-0.0176146317450665,0.0095238095238095351,0.028484551696593564
random_flip_10,75/25,70/30,1,0.050413556273055472,0.021606849901621806,0.068515098936151417,-0.0095238095238096565,0.022197519913650442
random_flip_10,75/25,70/30,2,-0.063089948071139768,-0.044688308849077409,-0.078409571909571832,0,-0.032164047222326506
random_flip_10,75/25,70/30,3,0.034922047306247393,0.016269296337388051,0.057321588284436585,-0.0095238095238095351,0.0048843798813234859
random_flip_10,75/25,70/30,4,-0.056372168533055822,-0.041440443507140136,-0.050605297279210169,-0.009523809523809568,-0.037100435997152778
random_flip_10,75/25,70/30,5,-0.00075581655869458861,-0.0021013222540831934,-0.015909502262443496,0.0095238095238095351,-0.032977602502077687
random_flip_10,75/25,75/25,1,0.052760697312160321,0.025243409886408674,0.083164428164428261,-0.0095238095238096565,-0.016728413202917004
random_flip_10,75/25,75/25,2,-0.095434104239732379,-0.069520663067573901,-0.11440043700764761,0,-0.07608582911735616
random_flip_10,75/25,75/25,3,-0.0055957483061583437,-0.0059750756147707975,0.001607378129117243,-0.0095238095238095351,0.01547521634800102
random_flip_10,75/25,75/25,4,-0.012388791506196128,-0.013461397832890899,-0.0091627554031645138,-0.009523809523809568,-0.031356725843501729
random_flip_10,75/25,75/25,5,0.025477363788356244,0.014244124234013066,0.025597402597402598,0.0095238095238095351,0.050817527814938847
random_flip_10,75/25,80/20,1,-0.037880703362266344,-0.033720196348255918,-0.042127113101672241,-0.0095238095238096565,-0.083482754878875506
random_flip_10,75/25,80/20,2,-0.031244341866151847,-0.033044175603209505,-0.038575517095840686,0,-0.07633221552380684
random_flip_10,75/25,80/20,3,0.026538828738764685,0.018436687018773257,0.040346435174021353,-0.0095238095238095351,-0.023559363734413453
random_flip_10,75/25,80/20,4,-0.011747855660595951,-0.010933603300891815,-0.012957477305303411,-0.009523809523809568,-0.022869168783298078
random_flip_10,75/25,80/20,5,-0.059039054710957883,-0.044116342410855311,-0.08587595859008533,0.0095238095238095351,-0.054189582766406411
random_flip_10,75/25,90/10,1,-0.030534819484195529,-0.034172888725164621,-0.025577369817206451,-0.0095238095238096565,-0.11462806286623528
random_flip_10,75/25,90/10,2,-0.064781629712909322,-0.065948774756723783,-0.074821312678455473,0,-0.03570510286730065
random_flip_10,75/25,90/10,3,-0.0067235608604245597,-0.006635263702597061,0.0010199944492072289,-0.0095238095238095351,-0.059515820372431971
random_flip_10,75/25,90/10,4,-0.029490123306022943,-0.029992450021387552,-0.026064354642417353,-0.009523809523809568,-0.045374486213633526
random_flip_10,75/25,90/10,5,-0.070011437896677339,-0.066507371770529719,-0.091440954632443963,0.0095238095238095351,0.010012689606555946
random_flip_10,80/20,50/50,1,-0.059149357291819096,-0.0075257821967819492,-0.078152879971765496,0.038095238095238036,-0.052362394196909558
random_flip_10,80/20,50/50,2,0.023391837936664717,0.077478737227332936,-0.080779220779220881,0.18095238095238098,-0.050999373046229549
random_flip_10,80/20,50/50,3,-0.15928516759526259,-0.13254471522764194,-0.059651211361737587,-0.10476190476190472,0.0011952969424229964
random_flip_10,80/20,50/50,4,-0.085361724589494231,-0.0031424795853605358,-0.13558631873802146,0.076190476190476142,-0.069834701966904195
random_flip_10,80/20,50/50,5,-0.088359633007202731,-0.094521632888053805,0.0020912128806865439,-0.14285714285714288,-0.029068063300406722
random_flip_10,80/20,60/40,1,0.031842060511937532,0.026601043954397708,0.0064823086158392719,0.038095238095238036,0.021949991373392708
random_flip_10,80/20,60/40,2,0.0081865074122818068,0.060025933019421121,-0.1189976689976692,0.18095238095238098,-0.0031565673798338079
random_flip_10,80/20,60/40,3,-0.11040111681703987,-0.10682923897487488,-0.055348102877514592,-0.10476190476190472,-0.014953815251880243
random_flip_10,80/20,60/40,4,-0.049250137721797115,-0.0024691734164628888,-0.10774147861335312,0.076190476190476142,-0.059033958307126475
random_flip_10,80/20,60/40,5,-0.12929538804000998,-0.11269091868501339,-0.044705815451346331,-0.14285714285714288,-0.070339300297742491
random_flip_10,80/20,70/30,1,-0.04736957428072637,-0.020392024385237149,-0.088551001428239268,0.038095238095238036,-0.049082752775908366
random_flip_10,80/20,70/30,2,0.067204137025816124,0.073494765787248395,-0.034862062773827529,0.18095238095238098,-0.052018130094248362
random_flip_10,80/20,70/30,3,-0.11581914416550924,-0.12048270411173634,-0.031818547796808726,-0.10476190476190472,-0.03777776032096529
random_flip_10,80/20,70/30,4,0.035028536128539164,0.027055314577535759,0.0054305919398798252,0.076190476190476142,0.017518571769574231
random_flip_10,80/20,70/30,5,-0.072257029393516872,-0.076687395530276953,0.0034243877150055392,-0.14285714285714288,-0.052047771375736594
random_flip_10,80/20,75/25,1,0.025448174326265283,0.022019217258527068,0.0033260921373443387,0.038095238095238036,-0.018947527757477257
random_flip_10,80/20,75/25,2,-0.018663063454290928,0.0099339319384046387,-0.11827593115518824,0.18095238095238098,-0.084370710960270073
random_flip_10,80/20,75/25,3,-0.065691809754659353,-0.086295669712848147,0.0083626462936807304,-0.10476190476190472,-0.038354261658805136
random_flip_10,80/20,75/25,4,-0.068877085785725711,-0.031769148829691375,-0.14643802464168587,0.076190476190476142,-0.046500379022004115
random_flip_10,80/20,75/25,5,-0.085760522292454039,-0.081767642926179482,-0.013155845327543724,-0.14285714285714288,0.0027280326342992824
random_flip_10,80/20,80/20,1,-0.001929938996153313,-0.0060063331945001911,-0.0022904903122687448,0.038095238095238036,-0.091621684244592466
random_flip_10,80/20,80/20,2,0.0053870909505135175,0.020714377990407474,-0.11254134668221372,0.18095238095238098,-0.049551022207080866
random_flip_10,80/20,80/20,3,-0.063630129450990808,-0.091071462230491895,0.049208683473389359,-0.10476190476190472,-0.036784896877181651
random_flip_10,80/20,80/20,4,-0.040318626846216024,-0.026420390545211215,-0.095686018878230777,0.076190476190476142,-0.096323732812203008
random_flip_10,80/20,80/20,5,-0.1056913283610927,-0.097350977376919223,-0.043034160188308003,-0.14285714285714288,-0.084134638750287982
random_flip_10,80/20,90/10,1,-0.022248100722204379,-0.036023948582100326,-0.0094051935520478754,0.038095238095238036,-0.017672431354374539
random_flip_10,80/20,90/10,2,-0.0044470309667053011,-0.025910955181075512,-0.066585079744608172,0.18095238095238098,-0.0054484235433616187
random_flip_10,80/20,90/10,3,-0.09743404439707648,-0.10535468529746775,-0.040721342805362284,-0.10476190476190472,-0.027112757804805841
random_flip_10,80/20,90/10,4,0.019523603879341534,0.0082701788111396828,-0.001115421066074429,0.076190476190476142,-0.070863221940631813
random_flip_10,80/20,90/10,5,-0.11806978863985129,-0.10513190407305521,-0.072835922483574886,-0.14285714285714288,-0.10326689855116729
random_flip_10,90/10,50/50,1,-0.1887014897136606,-0.14663290802764481,-0.27948212777934145,-0.095238095238095316,-0.053593012892202571
random_flip_10,90/10,50/50,2,-0.16190355969462583,-0.14385245645307548,-0.053122171945701305,-0.11428571428571424,-0.088633149246538798
random_flip_10,90/10,50/50,3,-0.11523477353775816,-0.098325416477281741,-0.050539811066126816,-0.076190476190476142,-0.091175810450256536
random_flip_10,90/10,50/50,4,-0.211165718207145,-0.23329390221746463,-0.25615037593984968,-0.13333333333333333,-0.13418099377257364
random_flip_10,90/10,50/50,5,-0.22381186041893816,-0.23151394178558871,-0.40941176470588231,-0.19047619047619044,-0.062719711387823979
random_flip_10,90/10,60/40,1,-0.15659730186372656,-0.13991083713034919,-0.23015873015873015,-0.095238095238095316,-0.057298608498252079
random_flip_10,90/10,60/40,2,-0.15345752082840117,-0.14504297249628309,-0.060601995184038568,-0.11428571428571424,-0.093191171998436656
random_flip_10,90/10,60/40,3,-0.14398386925868537,-0.10629874036784111,-0.1144008554225272,-0.076190476190476142,-0.14426993840142088
random_flip_10,90/10,60/40,4,-0.2344849616061731,-0.23735663850442545,-0.28827352472089329,-0.13333333333333333,-0.16477562307378812
random_flip_10,90/10,60/40,5,-0.22340304522540846,-0.22755232906161696,-0.39443301796242969,-0.19047619047619044,-0.087992066195627494
random_flip_10,90/10,70/30,1,-0.12445508685621627,-0.12443972511494561,-0.1923232323232324,-0.095238095238095316,-0.057888734717008172
random_flip_10,90/10,70/30,2,-0.12383581953443226,-0.13586622877630231,-0.0012292609351432838,-0.11428571428571424,-0.076118080312163203
random_flip_10,90/10,70/30,3,-0.21146645181881216,-0.15080478799762095,-0.19438328082829356,-0.076190476190476142,-0.14577332672940282
random_flip_10,90/10,70/30,4,-0.18681720532666218,-0.22172454970723415,-0.18925113200975263,-0.13333333333333333,-0.22347019068468085
random_flip_10,90/10,70/30,5,-0.26498918548005523,-0.24096698999924801,-0.44684210526315782,-0.19047619047619044,-0.10996889291953123
random_flip_10,90/10,75/25,1,-0.10901079617934761,-0.11339655627226711,-0.16541535588594428,-0.095238095238095316,-0.035451844723060177
random_flip_10,90/10,75/25,2,-0.22960205850745816,-0.19272492365515609,-0.15508829262699231,-0.11428571428571424,-0.17178521341245254
random_flip_10,90/10,75/25,3,-0.12195751059349495,-0.10504083195882723,-0.08345836911626385,-0.076190476190476142,-0.10496752263408511
random_flip_10,90/10,75/25,4,-0.25034232801305933,-0.2506884959012618,-0.28424131424131416,-0.13333333333333333,-0.18616122533258145
random_flip_10,90/10,75/25,5,-0.26433570880596174,-0.24071810854084585,-0.42907745848922313,-0.19047619047619044,-0.17432832476058377
random_flip_10,90/10,80/20,1,-0.13428247838253302,-0.13150637892573366,-0.17293453376510909,-0.095238095238095316,-0.047691322302379893
random_flip_10,90/10,80/20,2,-0.17738582612732881,-0.1674441778295031,-0.093430340557275462,-0.11428571428571424,-0.23635077257969545
random_flip_10,90/10,80/20,3,-0.12003645486411663,-0.10555903907456705,-0.087027417027417051,-0.076190476190476142,-0.1383578290337904
random_flip_10,90/10,80/20,4,-0.27497756126228562,-0.26731685507456043,-0.33707588707588709,-0.13333333333333333,-0.27536012992181141
random_flip_10,90/10,80/20,5,-0.24587591176469684,-0.22798833148857636,-0.35299267399267398,-0.19047619047619044,-0.10172704647304509
random_flip_10,90/10,90/10,1,-0.11375676673826911,-0.11615073717016131,-0.13602760524499655,-0.095238095238095316,-0.050861884137741765
random_flip_10,90/10,90/10,2,-0.20875097159941336,-0.2158198421947187,-0.10814282184325578,-0.11428571428571424,-0.22333523414538853
random_flip_10,90/10,90/10,3,-0.12495851449503145,-0.12258100667764724,-0.092754186314023934,-0.076190476190476142,-0.22259018987630208
random_flip_10,90/10,90/10,4,-0.20133270448414736,-0.23257285395038796,-0.1474910394265232,-0.13333333333333333,-0.18672862644522822
random_flip_10,90/10,90/10,5,-0.26532650672998326,-0.23870864347780368,-0.41492267668738264,-0.19047619047619044,-0.17006720436425038
random_flip_20,60/40,50/50,1,-0.18400507147963416,-0.070603845002460822,-0.14530084802799828,0,-0.072619975764923003
random_flip_20,60/40,50/50,2,0.05143226683760925,0.013177173703489319,0.054064081773060123,-0.019047619047619046,-0.003491157364722719
random_flip_20,60/40,50/50,3,-0.15604053051201747,-0.078179183797298893,-0.086033086280764448,-0.076190476190476225,-0.024893556360140012
random_flip_20,60/40,50/50,4,0.038756504892526598,0.0067110093710785355,0.047467934364486063,-0.019047619047619001,-0.036247426608531641
random_flip_20,60/40,50/50,5,-0.19190340169309142,-0.1036531961402843,-0.10426806767364045,-0.10476190476190483,-0.05566384930201327
random_flip_20,60/40,60/40,1,-0.061993578615686162,-0.032033835606303372,-0.059540669856459297,0,-0.050533005172683554
random_flip_20,60/40,60/40,2,-0.044943211859908724,-0.027555410538247459,-0.031576576875809573,-0.019047619047619046,-0.028975744966171991
random_flip_20,60/40,60/40,3,-0.15876705865582069,-0.083392543057620339,-0.093396445339650164,-0.076190476190476225,-0.056627705620950652
random_flip_20,60/40,60/40,4,-0.13958487072923836,-0.073070245769404768,-0.11101226444844958,-0.019047619047619001,-0.12536193745318353
random_flip_20,60/40,60/40,5,-0.13240831236039977,-0.088610394822891431,-0.054993061783343136,-0.10476190476190483,-0.022856528382184084
random_flip_20,60/40,70/30,1,-0.075239685002390783,-0.047297908408698609,-0.08145629884989139,0,-0.063671386888015546
random_flip_20,60/40,70/30,2,-0.00077074872385060058,-0.0044001101101558641,0.010367119470567787,-0.019047619047619046,-0.045795485378132314
random_flip_20,60/40,70/30,3,-0.11905360169111807,-0.075183723618629711,-0.07830367636208177,-0.076190476190476225,-0.10193122141426125
random_flip_20,60/40,70/30,4,-0.035886652565254508,-0.024078359994315533,-0.018891284641284634,-0.019047619047619001,-0.061474817654823079
random_flip_20,60/40,70/30,5,-0.1248075233703354,-0.089635060852543358,-0.059850229692334944,-0.10476190476190483,-0.078189051350373462
random_flip_20,60/40,75/25,1,-0.018738949968537599,-0.013081686703929663,-0.023365468669816682,0,0.016617214032210881
random_flip_20,60/40,75/25,2,-0.030068719038510994,-0.020800408421126404,-0.017112805112805152,-0.019047619047619046,-0.036359233298003404
random_flip_20,60/40,75/25,3,-0.10378094776799567,-0.070244351940103145,-0.066095112722901722,-0.076190476190476225,-0.039170690917042048
random_flip_20,60/40,75/25,4,-0.064286793472840359,-0.046483512909655821,-0.052055511168622316,-0.019047619047619001,-0.15848258064460163
random_flip_20,60/40,75/25,5,-0.17649841999304355,-0.13126699994740237,-0.13607396950875211,-0.10476190476190483,-0.050407390732512214
random_flip_20,60/40,80/20,1,-0.08041695442839511,-0.061574010569025429,-0.081421059279498456,0,-0.10607013576344851
random_flip_20,60/40,80/20,2,-0.059068497297128417,-0.046452674756465862,-0.059913060371464474,-0.019047619047619046,-0.029472916372573231
random_flip_20,60/40,80/20,3,-0.08080510895203781,-0.055376615491369588,-0.045218912632705763,-0.076190476190476225,0.0082531328341598157
random_flip_20,60/40,80/20,4,-0.069831460826186006,-0.05673524921393782,-0.059341298321763013,-0.019047619047619001,-0.11770464404334294
random_flip_20,60/40,80/20,5,-0.1009849287692075,-0.074882936784933116,-0.047744046454309373,-0.10476190476190483,-0.044131574386309311
random_flip_20,60/40,90/10,1,-0.043302447218902716,-0.040107313122547061,-0.03729881620594995,0,-0.10097538056085313
random_flip_20,60/40,90/10,2,-0.01735966705674008,-0.014907076615760583,-0.010999359831033572,-0.019047619047619046,-0.012292950257897662
random_flip_20,60/40,90/10,3,-0.11607228527770896,-0.097266394499510994,-0.0847949457155944,-0.076190476190476225,-0.069816217943669906
random_flip_20,60/40,90/10,4,-0.023962861291171571,-0.020660292630724563,-0.014038036007258087,-0.019047619047619001,-0.082185183503894449
random_flip_20,60/40,90/10,5,-0.12225010423283904,-0.099744215114746543,-0.077199219736345429,-0.10476190476190483,-0.075140388264077457
random_flip_20,70/30,50/50,1,-0.094710784123159308,-0.12706069261336023,0.027956254272043624,-0.16190476190476191,0.0026360767081178072
random_flip_20,70/30,50/50,2,-0.22930119353974493,-0.19967993419501817,-0.078360365125071024,-0.23809523809523822,-0.11808185501591517
random_flip_20,70/30,50/50,3,-0.20000004279494518,-0.16878702045939137,-0.045568332596196394,-0.16190476190476194,-0.025304664686928803
random_flip_20,70/30,50/50,4,-0.061016024119703818,-0.041800846644598467,-0.027251584844463973,-0.038095238095238057,-0.019022638539279123
random_flip_20,70/30,50/50,5,-0.17933663423888876,-0.14206648676706177,-0.063827047565437584,-0.18095238095238098,-0.078410700543066272
random_flip_20,70/30,60/40,1,-0.11833289866253424,-0.12615626387618301,-0.018385281385281348,-0.16190476190476191,-0.02081720401662248
random_flip_20,70/30,60/40,2,-0.27476989894364301,-0.22156978650395978,-0.13872846108140238,-0.23809523809523822,-0.17343627046757165
random_flip_20,70/30,60/40,3,-0.18844768636536027,-0.16495360229154232,-0.03479139218269648,-0.16190476190476194,-0.07708071354636159
random_flip_20,70/30,60/40,4,-0.14472276987323804,-0.081262861826905383,-0.11451993325423879,-0.038095238095238057,-0.0615934024315868
random_flip_20,70/30,60/40,5,-0.14431532234940475,-0.12756044061370386,-0.035597120271033102,-0.18095238095238098,-0.053940107957087369
random_flip_20,70/30,70/30,1,-0.12106047645194193,-0.13539542762596363,-0.0040555340921474507,-0.16190476190476191,-0.011409779874942915
random_flip_20,70/30,70/30,2,-0.2580282953921178,-0.20253769789291964,-0.15005525875091097,-0.23809523809523822,-0.10767925163471763
random_flip_20,70/30,70/30,3,-0.2232220616916003,-0.18996949182932893,-0.093490187751057455,-0.16190476190476194,-0.10138149604910691
random_flip_20,70/30,70/30,4,-0.069912546369398601,-0.051110245925920172,-0.042208795528921782,-0.038095238095238057,-0.013813596035166164
random_flip_20,70/30,70/30,5,-0.13550973738481231,-0.12588911383184959,-0.021340452580727122,-0.18095238095238098,-0.082272275233030073
random_flip_20,70/30,75/25,1,-0.12350771662157692,-0.12894320602148923,-0.036995874495874492,-0.16190476190476191,-0.050621613023404288
random_flip_20,70/30,75/25,2,-0.18640844570531306,-0.15622595583980081,-0.082161345026787347,-0.23809523809523822,-0.22833710036082983
random_flip_20,70/30,75/25,3,-0.16636363127711284,-0.15044375468345667,-0.08344998393622681,-0.16190476190476194,-0.051350250883962854
random_flip_20,70/30,75/25,4,-0.043984695730560387,-0.034563743541785333,-0.02733725653385748,-0.038095238095238057,-0.08871749490832756
random_flip_20,70/30,75/25,5,-0.18029241502146803,-0.14920009569365869,-0.094798914451088151,-0.18095238095238098,-0.06282653772211888
random_flip_20,70/30,80/20,1,-0.12386107169649399,-0.11753232077650819,-0.055944205886156416,-0.16190476190476191,0.010640455317855412
random_flip_20,70/30,80/20,2,-0.20568236923741384,-0.17889809440225712,-0.10690330458072397,-0.23809523809523822,-0.21419217077167821
random_flip_20,70/30,80/20,3,-0.18616766330758749,-0.16076057822002648,-0.11204398811341698,-0.16190476190476194,-0.10698722395338027
random_flip_20,70/30,80/20,4,-0.12000099762987948,-0.090741467096774081,-0.13261018300373631,-0.038095238095238057,-0.11059448763827211
random_flip_20,70/30,80/20,5,-0.1737278572900407,-0.13623493230403264,-0.096927351638519899,-0.18095238095238098,-0.05403167390427048
random_flip_20,70/30,90/10,1,-0.060504350995738941,-0.053610619629022069,0.0056561544527883754,-0.16190476190476191,0.020355435593610926
random_flip_20,70/30,90/10,2,-0.16579113424741118,-0.13818232852301637,-0.078911739591719307,-0.23809523809523822,-0.16988259059792188
random_flip_20,70/30,90/10,3,-0.18071409085075776,-0.16511376580342096,-0.12419181722612165,-0.16190476190476194,-0.15610827194505988
