target_cwe,ratio,seed,condition,noise_type,noise_level,base_train_rows,final_train_rows,valid_rows,requested_noise_rows,rows_selected_for_noise,pair_count,flips_0_to_1,flips_1_to_0,compensation_benign_rows,clean_train_positive_rows,clean_train_benign_rows,noisy_train_positive_rows,noisy_train_benign_rows,final_vulnerable_pct,final_benign_pct,heuristic_candidate_rows,validation_clean,ratio_preserved,tests_copied
CWE-119,70/30,2,random_flip_20,random_flip,0.2,2264,2264,64,453,454,227,227,227,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,2,random_fp_10,random_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,0,True,True,False
CWE-119,70/30,2,random_fp_20,random_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,0,True,True,False
CWE-119,70/30,2,heuristic_fp_10,heuristic_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,631,True,True,False
CWE-119,70/30,2,heuristic_fp_20,heuristic_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,631,True,True,False
CWE-119,70/30,3,clean,clean,0.0,2264,2264,64,0,0,0,0,0,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,3,random_flip_10,random_flip,0.1,2264,2264,64,227,228,114,114,114,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,3,random_flip_20,random_flip,0.2,2264,2264,64,453,454,227,227,227,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,3,random_fp_10,random_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,0,True,True,False
CWE-119,70/30,3,random_fp_20,random_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,0,True,True,False
CWE-119,70/30,3,heuristic_fp_10,heuristic_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,614,True,True,False
CWE-119,70/30,3,heuristic_fp_20,heuristic_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,614,True,True,False
CWE-119,70/30,4,clean,clean,0.0,2264,2264,64,0,0,0,0,0,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,4,random_flip_10,random_flip,0.1,2264,2264,64,227,228,114,114,114,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,4,random_flip_20,random_flip,0.2,2264,2264,64,453,454,227,227,227,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,4,random_fp_10,random_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,0,True,True,False
CWE-119,70/30,4,random_fp_20,random_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,0,True,True,False
CWE-119,70/30,4,heuristic_fp_10,heuristic_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,621,True,True,False
CWE-119,70/30,4,heuristic_fp_20,heuristic_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,621,True,True,False
CWE-119,70/30,5,clean,clean,0.0,2264,2264,64,0,0,0,0,0,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,5,random_flip_10,random_flip,0.1,2264,2264,64,227,228,114,114,114,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,5,random_flip_20,random_flip,0.2,2264,2264,64,453,454,227,227,227,0,679,1585,679,1585,29.9912,70.0088,0,True,True,False
CWE-119,70/30,5,random_fp_10,random_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,0,True,True,False
CWE-119,70/30,5,random_fp_20,random_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,0,True,True,False
CWE-119,70/30,5,heuristic_fp_10,heuristic_fp,0.1,2264,3021,64,227,227,0,227,0,757,679,1585,906,2115,29.9901,70.0099,617,True,True,False
CWE-119,70/30,5,heuristic_fp_20,heuristic_fp,0.2,2264,3775,64,453,453,0,453,0,1511,679,1585,1132,2643,29.9868,70.0132,617,True,True,False
CWE-119,75/25,1,clean,clean,0.0,2716,2716,76,0,0,0,0,0,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,1,random_flip_10,random_flip,0.1,2716,2716,76,272,272,136,136,136,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,1,random_flip_20,random_flip,0.2,2716,2716,76,544,544,272,272,272,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,1,random_fp_10,random_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,0,True,True,False
CWE-119,75/25,1,random_fp_20,random_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,0,True,True,False
CWE-119,75/25,1,heuristic_fp_10,heuristic_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,767,True,True,False
CWE-119,75/25,1,heuristic_fp_20,heuristic_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,767,True,True,False
CWE-119,75/25,2,clean,clean,0.0,2716,2716,76,0,0,0,0,0,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,2,random_flip_10,random_flip,0.1,2716,2716,76,272,272,136,136,136,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,2,random_flip_20,random_flip,0.2,2716,2716,76,544,544,272,272,272,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,2,random_fp_10,random_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,0,True,True,False
CWE-119,75/25,2,random_fp_20,random_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,0,True,True,False
CWE-119,75/25,2,heuristic_fp_10,heuristic_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,794,True,True,False
CWE-119,75/25,2,heuristic_fp_20,heuristic_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,794,True,True,False
CWE-119,75/25,3,clean,clean,0.0,2716,2716,76,0,0,0,0,0,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,3,random_flip_10,random_flip,0.1,2716,2716,76,272,272,136,136,136,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,3,random_flip_20,random_flip,0.2,2716,2716,76,544,544,272,272,272,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,3,random_fp_10,random_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,0,True,True,False
CWE-119,75/25,3,random_fp_20,random_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,0,True,True,False
CWE-119,75/25,3,heuristic_fp_10,heuristic_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,776,True,True,False
CWE-119,75/25,3,heuristic_fp_20,heuristic_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,776,True,True,False
CWE-119,75/25,4,clean,clean,0.0,2716,2716,76,0,0,0,0,0,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,4,random_flip_10,random_flip,0.1,2716,2716,76,272,272,136,136,136,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,4,random_flip_20,random_flip,0.2,2716,2716,76,544,544,272,272,272,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,4,random_fp_10,random_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,0,True,True,False
CWE-119,75/25,4,random_fp_20,random_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,0,True,True,False
CWE-119,75/25,4,heuristic_fp_10,heuristic_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,810,True,True,False
CWE-119,75/25,4,heuristic_fp_20,heuristic_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,810,True,True,False
CWE-119,75/25,5,clean,clean,0.0,2716,2716,76,0,0,0,0,0,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,5,random_flip_10,random_flip,0.1,2716,2716,76,272,272,136,136,136,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,5,random_flip_20,random_flip,0.2,2716,2716,76,544,544,272,272,272,0,679,2037,679,2037,25.0000,75.0000,0,True,True,False
CWE-119,75/25,5,random_fp_10,random_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,0,True,True,False
CWE-119,75/25,5,random_fp_20,random_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,0,True,True,False
CWE-119,75/25,5,heuristic_fp_10,heuristic_fp,0.1,2716,3804,76,272,272,0,272,0,1088,679,2037,951,2853,25.0000,75.0000,779,True,True,False
CWE-119,75/25,5,heuristic_fp_20,heuristic_fp,0.2,2716,4892,76,544,544,0,544,0,2176,679,2037,1223,3669,25.0000,75.0000,779,True,True,False
CWE-119,80/20,1,clean,clean,0.0,3395,3395,95,0,0,0,0,0,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,1,random_flip_10,random_flip,0.1,3395,3395,95,340,340,170,170,170,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,1,random_flip_20,random_flip,0.2,3395,3395,95,679,680,340,340,340,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,1,random_fp_10,random_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,0,True,True,False
CWE-119,80/20,1,random_fp_20,random_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,0,True,True,False
CWE-119,80/20,1,heuristic_fp_10,heuristic_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,1013,True,True,False
CWE-119,80/20,1,heuristic_fp_20,heuristic_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,1013,True,True,False
CWE-119,80/20,2,clean,clean,0.0,3395,3395,95,0,0,0,0,0,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,2,random_flip_10,random_flip,0.1,3395,3395,95,340,340,170,170,170,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,2,random_flip_20,random_flip,0.2,3395,3395,95,679,680,340,340,340,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,2,random_fp_10,random_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,0,True,True,False
CWE-119,80/20,2,random_fp_20,random_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,0,True,True,False
CWE-119,80/20,2,heuristic_fp_10,heuristic_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,1096,True,True,False
CWE-119,80/20,2,heuristic_fp_20,heuristic_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,1096,True,True,False
CWE-119,80/20,3,clean,clean,0.0,3395,3395,95,0,0,0,0,0,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,3,random_flip_10,random_flip,0.1,3395,3395,95,340,340,170,170,170,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,3,random_flip_20,random_flip,0.2,3395,3395,95,679,680,340,340,340,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,3,random_fp_10,random_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,0,True,True,False
CWE-119,80/20,3,random_fp_20,random_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,0,True,True,False
CWE-119,80/20,3,heuristic_fp_10,heuristic_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,1012,True,True,False
CWE-119,80/20,3,heuristic_fp_20,heuristic_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,1012,True,True,False
CWE-119,80/20,4,clean,clean,0.0,3395,3395,95,0,0,0,0,0,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,4,random_flip_10,random_flip,0.1,3395,3395,95,340,340,170,170,170,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,4,random_flip_20,random_flip,0.2,3395,3395,95,679,680,340,340,340,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,4,random_fp_10,random_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,0,True,True,False
CWE-119,80/20,4,random_fp_20,random_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,0,True,True,False
CWE-119,80/20,4,heuristic_fp_10,heuristic_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,1065,True,True,False
CWE-119,80/20,4,heuristic_fp_20,heuristic_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,1065,True,True,False
CWE-119,80/20,5,clean,clean,0.0,3395,3395,95,0,0,0,0,0,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,5,random_flip_10,random_flip,0.1,3395,3395,95,340,340,170,170,170,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,5,random_flip_20,random_flip,0.2,3395,3395,95,679,680,340,340,340,0,679,2716,679,2716,20.0000,80.0000,0,True,True,False
CWE-119,80/20,5,random_fp_10,random_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,0,True,True,False
CWE-119,80/20,5,random_fp_20,random_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,0,True,True,False
CWE-119,80/20,5,heuristic_fp_10,heuristic_fp,0.1,3395,5095,95,340,340,0,340,0,1700,679,2716,1019,4076,20.0000,80.0000,1014,True,True,False
CWE-119,80/20,5,heuristic_fp_20,heuristic_fp,0.2,3395,6790,95,679,679,0,679,0,3395,679,2716,1358,5432,20.0000,80.0000,1014,True,True,False
CWE-119,90/10,1,clean,clean,0.0,6790,6790,190,0,0,0,0,0,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,1,random_flip_10,random_flip,0.1,6790,6790,190,679,680,340,340,340,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,1,random_flip_20,random_flip,0.2,6790,6790,190,1358,1358,679,679,679,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,1,random_fp_10,random_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,0,True,True,False
CWE-119,90/10,1,random_fp_20,random_fp,0.2,6790,20370,190,1358,1358,0,1358,0,13580,679,6111,2037,18333,10.0000,90.0000,0,True,True,False
CWE-119,90/10,1,heuristic_fp_10,heuristic_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,2356,True,True,False
CWE-119,90/10,1,heuristic_fp_20,heuristic_fp,0.2,6790,20370,190,1358,1358,0,1358,0,13580,679,6111,2037,18333,10.0000,90.0000,2356,True,True,False
CWE-119,90/10,2,clean,clean,0.0,6790,6790,190,0,0,0,0,0,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,2,random_flip_10,random_flip,0.1,6790,6790,190,679,680,340,340,340,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,2,random_flip_20,random_flip,0.2,6790,6790,190,1358,1358,679,679,679,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,2,random_fp_10,random_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,0,True,True,False
CWE-119,90/10,2,random_fp_20,random_fp,0.2,6790,20370,190,1358,1358,0,1358,0,13580,679,6111,2037,18333,10.0000,90.0000,0,True,True,False
CWE-119,90/10,2,heuristic_fp_10,heuristic_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,2426,True,True,False
CWE-119,90/10,2,heuristic_fp_20,heuristic_fp,0.2,6790,20370,190,1358,1358,0,1358,0,13580,679,6111,2037,18333,10.0000,90.0000,2426,True,True,False
CWE-119,90/10,3,clean,clean,0.0,6790,6790,190,0,0,0,0,0,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,3,random_flip_10,random_flip,0.1,6790,6790,190,679,680,340,340,340,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,3,random_flip_20,random_flip,0.2,6790,6790,190,1358,1358,679,679,679,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,3,random_fp_10,random_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,0,True,True,False
CWE-119,90/10,3,random_fp_20,random_fp,0.2,6790,20370,190,1358,1358,0,1358,0,13580,679,6111,2037,18333,10.0000,90.0000,0,True,True,False
CWE-119,90/10,3,heuristic_fp_10,heuristic_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,2381,True,True,False
CWE-119,90/10,3,heuristic_fp_20,heuristic_fp,0.2,6790,20370,190,1358,1358,0,1358,0,13580,679,6111,2037,18333,10.0000,90.0000,2381,True,True,False
CWE-119,90/10,4,clean,clean,0.0,6790,6790,190,0,0,0,0,0,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,4,random_flip_10,random_flip,0.1,6790,6790,190,679,680,340,340,340,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,4,random_flip_20,random_flip,0.2,6790,6790,190,1358,1358,679,679,679,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,4,random_fp_10,random_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,0,True,True,False
CWE-119,90/10,4,random_fp_20,random_fp,0.2,6790,20370,190,1358,1358,0,1358,0,13580,679,6111,2037,18333,10.0000,90.0000,0,True,True,False
CWE-119,90/10,4,heuristic_fp_10,heuristic_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,2366,True,True,False
CWE-119,90/10,4,heuristic_fp_20,heuristic_fp,0.2,6790,20370,190,1358,1358,0,1358,0,13580,679,6111,2037,18333,10.0000,90.0000,2366,True,True,False
CWE-119,90/10,5,clean,clean,0.0,6790,6790,190,0,0,0,0,0,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,5,random_flip_10,random_flip,0.1,6790,6790,190,679,680,340,340,340,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,5,random_flip_20,random_flip,0.2,6790,6790,190,1358,1358,679,679,679,0,679,6111,679,6111,10.0000,90.0000,0,True,True,False
CWE-119,90/10,5,random_fp_10,random_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,0,True,True,False
CWE-119,90/10,5,random_fp_20,random_fp,0.2,6790,20370,190,1358,1358,0,1358,0,13580,679,6111,2037,18333,10.0000,90.0000,0,True,True,False
CWE-119,90/10,5,heuristic_fp_10,heuristic_fp,0.1,6790,13580,190,679,679,0,679,0,6790,679,6111,1358,12222,10.0000,90.0000,2372,True,True,False
